tag,content,label,depth
html body div a  ,移至主內容,0,4
html body div header div div div div div div div ul li a  ,關於我們,0,14
html body div header div div div div div div div ul li a  ,電子報,0,14
html body div header div div div div div div div ul li a  ,網站導覽,0,14
html body div header div div div div div div div ul li a  ,捐款,0,14
html body div header div div div div div div div ul li a  ,新聞,0,14
html body div header div div div div div div div ul li ul li a  ,台灣新聞,0,16
html body div header div div div div div div div ul li ul li a  ,國際新聞,0,16
html body div header div div div div div div div ul li ul li a  ,午安環境,0,16
html body div header div div div div div div div ul li ul li a  ,時事專題,0,16
html body div header div div div div div div div ul li ul li ul li a  ,我們的島,0,18
html body div header div div div div div div div ul li ul li ul li a  ,當草鴞飛過,0,18
html body div header div div div div div div div ul li ul li ul li a  ,陽明山，誰的家？,0,18
html body div header div div div div div div div ul li ul li ul li a  ,原民狩獵有沒有問題？,0,18
html body div header div div div div div div div ul li ul li ul li a  ,武漢肺炎疫情總整理,0,18
html body div header div div div div div div div ul li ul li ul li a  ,追蹤縣市國土計畫,0,18
html body div header div div div div div div div ul li ul li ul li a  ,石虎專題,0,18
html body div header div div div div div div div ul li ul li ul li a  ,生物多樣性與他的7個小迷思,0,18
html body div header div div div div div div div ul li ul li ul li a  ,離岸風電時代的生態備忘錄,0,18
html body div header div div div div div div div ul li ul li a  ,新聞懶人包,0,16
html body div header div div div div div div div ul li ul li a  ,事實查核,0,16
html body div header div div div div div div div ul li ul li a  ,回顧與前瞻,0,16
html body div header div div div div div div div ul li a  ,專欄,0,14
html body div header div div div div div div div ul li ul li a  ,生物多樣性,0,16
html body div header div div div div div div div ul li ul li a  ,與野共生,0,16
html body div header div div div div div div div ul li ul li a  ,透視中國環境,0,16
html body div header div div div div div div div ul li ul li a  ,減碳新生活,0,16
html body div header div div div div div div div ul li ul li a  ,綠色影展,0,16
html body div header div div div div div div div ul li ul li a  ,林里之間,0,16
html body div header div div div div div div div ul li ul li a  ,從河說起,0,16
html body div header div div div div div div div ul li ul li a  ,地球公民通訊,0,16
html body div header div div div div div div div ul li ul li a  ,多媒體,0,16
html body div header div div div div div div div ul li ul li ul li a  ,圖輯,0,18
html body div header div div div div div div div ul li ul li ul li ul li a  ,攝影,0,20
html body div header div div div div div div div ul li ul li ul li ul li a  ,手繪,0,20
html body div header div div div div div div div ul li ul li ul li a  ,綠繪本,0,18
html body div header div div div div div div div ul li ul li ul li a  ,綠遊戲,0,18
html body div header div div div div div div div ul li ul li ul li a  ,影音,0,18
html body div header div div div div div div div ul li ul li ul li a  ,懶人包,0,18
html body div header div div div div div div div ul li ul li ul li a  ,環境電影節,0,18
html body div header div div div div div div div ul li ul li a  ,副刊,0,16
html body div header div div div div div div div ul li ul li ul li a  ,書摘,0,18
html body div header div div div div div div div ul li ul li ul li a  ,自然生命印象,0,18
html body div header div div div div div div div ul li ul li ul li a  ,享綠生活,0,18
html body div header div div div div div div div ul li ul li ul li a  ,自然人文,0,18
html body div header div div div div div div div ul li ul li ul li a  ,自然書寫,0,18
html body div header div div div div div div div ul li ul li ul li a  ,自然書訊,0,18
html body div header div div div div div div div ul li ul li ul li a  ,詩情畫意,0,18
html body div header div div div div div div div ul li a  ,評論,0,14
html body div header div div div div div div div ul li ul li a  ,公共論壇,0,16
html body div header div div div div div div div ul li ul li a  ,社論,0,16
html body div header div div div div div div div ul li a  ,活動,0,14
html body div header div div div div div div div ul li ul li a  ,環境徵才,0,16
html body div header div div div div div div div ul li a  ,綠色消費,0,14
html body div header div div div div div div div ul li a  ,2021回顧,0,14
html body div section div div div div a  ,首頁,0,9
html body div section div div div div  ,»,0,8
html body div section div div div div a  ,內容,0,9
html body div section div div div div h1  ,【2022 第12屆氣候變遷國中小繪畫創作比賽】主題公開！,1,9
html body div section div div div div div div div article div div  ,2022年1月25日,1,14
html body div section div div div div div div div article div div div div p span  ,"為使環境教育向下扎根、提升大眾永續認知，財團法人台灣永續能源研究基金會持續舉辦「氣候變遷國中小繪畫創作比賽」，今年已邁入第12屆，累計全球共37國，學生52,666人參賽！本屆氣候變遷繪畫比賽聚焦聯合國永續發展目標（SDGs） 第2、12、13項「消除飢餓，達成糧食安全，改善營養及促進永續農業」、「確保永續的消費與生產模式」及「採取氣候行動」，將主題訂為：",1,18
html body div section div div div div div div div article div div div div p strong  ,地球的美好「食」光,1,18
html body div section div div div div div div div article div div div div p span  ,誠摯地邀請大朋友小朋友一起拿起畫筆參加氣候行動！,1,18
html body div section div div div div div div div article div div div div div strong  ,【活動資訊】,1,18
html body div section div div div div div div div article div div div div div span  ,報名日期：2022/2/14（一）至4/18（一）,1,18
html body div section div div div div div div div article div div div div div span  ,報名者：國小1年級至國中3年級,1,18
html body div section div div div div div div div article div div div div div span  ,報名費用：免費！,1,18
html body div section div div div div div div div article div div div div p  ,更多訊息請至活動官網：,1,17
html body div section div div div div div div div article div div div div p a  ,https://bit.ly/3rOPSNn,1,18
html body div section div div div div div div div article div div div div p  ,*本活動由教育部、行政院環境保護署擔任指導單位,1,17
html body div section div div div div div div div article div div div  ,活動日期:,1,15
html body div section div div div div div div div article div div div div span  ,2022-04-18(週一),1,17
html body div section div div div div div div div article div div div div a  ,活動,0,17
html body div section div div aside div section div h2  ,搜尋,0,11
html body div section div div aside div section div div form div div div label  ,搜尋,0,16
html body div section div div aside div section div h2  ,訂閱電子報,0,11
html body div section div div aside div section div div form div div label  ,Email信箱,0,15
html body div section div div aside div section div div form div div label span  ,*,0,16
html body div section div div aside div section div div form div div div label  ,姓,0,16
html body div section div div aside div section div div form div div div label span  ,*,0,17
html body div section div div aside div section div div form div div div div label  ,名,0,17
html body div section div div aside div section div div form div div div div label span  ,*,0,18
html body div section div div aside div section div h2  ,看熱門討論／留下您的意見,0,11
html body div section div div aside div section div div div ul li a  ,People,0,15
html body div section div div aside div section div div div ul li a  ,Recent,0,15
html body div section div div aside div section div div div ul li a  ,Popular,0,15
html body div section div div aside div section div div div div div h3  ,Top Commenters,0,15
html body div section div div aside div section div div div div div ul li cite a  ,fierycloud,0,18
html body div section div div aside div section div div div div div ul li div  ,· 1384 posts,0,17
html body div section div div aside div section div div div div div ul li cite a  ,TW Energy,0,18
html body div section div div aside div section div div div div div ul li div  ,· 247 posts,0,17
html body div section div div aside div section div div div div div ul li cite a  ,納豆,0,18
html body div section div div aside div section div div div div div ul li div  ,· 148 posts,0,17
html body div section div div aside div section div div div div div ul li cite a  ,Conan Yang,0,18
html body div section div div aside div section div div div div div ul li div  ,· 146 posts,0,17
html body div section div div aside div section div div div div div ul li cite a  ,peter,0,18
html body div section div div aside div section div div div div div ul li div  ,· 114 posts,0,17
html body div section div div aside div section div div div div div h3  ,Recent Comments,0,15
html body div section div div aside div section div div div div div ul li a  ,keynes LI,0,17
html body div section div div aside div section div div div div div ul li span p  ,總之就一句話 大餅都是我的 一份都不給你,0,18
html body div section div div aside div section div div div div div ul li span p  ,只準我反清復明 不准你阿彌陀佛,0,18
html body div section div div aside div section div div div div div ul li p a  ,前核能管理委員會官員：核能對抗氣候變遷不可行,0,18
html body div section div div aside div section div div div div div ul li p  ,·,0,17
html body div section div div aside div section div div div div div ul li p a  ,1 day ago,0,18
html body div section div div aside div section div div div div div ul li a  ,ski huang,0,17
html body div section div div aside div section div div div div div ul li span p  ,危言耸听。,0,18
html body div section div div aside div section div div div div div ul li span p  ,那里来这么多钱去支应？,0,18
html body div section div div aside div section div div div div div ul li span p  ,企业创造营收，,0,18
html body div section div div aside div section div div div div div ul li span p  ,也是间接一直在耗能与制造污染，,0,18
html body div section div div aside div section div div div div div ul li p a  ,麥肯錫：淨零需要全球經濟徹底轉型,0,18
html body div section div div aside div section div div div div div ul li p  ,·,0,17
html body div section div div aside div section div div div div div ul li p a  ,1 day ago,0,18
html body div section div div aside div section div div div div div ul li a  ,ski huang,0,17
html body div section div div aside div section div div div div div ul li span p  ,明知山有虎，偏往虎山行。,0,18
html body div section div div aside div section div div div div div ul li p a  ,地熱發電面臨酸蝕、結垢問題 未妥善維運 發電量恐逐年衰減,0,18
html body div section div div aside div section div div div div div ul li p  ,·,0,17
html body div section div div aside div section div div div div div ul li p a  ,1 day ago,0,18
html body div section div div aside div section div div div div div ul li a  ,張 為元,0,17
html body div section div div aside div section div div div div div ul li span p  ,放屁，零碳排又能穩定供電的就只有核能而已,0,18
html body div section div div aside div section div div div div div ul li p a  ,前核能管理委員會官員：核能對抗氣候變遷不可行,0,18
html body div section div div aside div section div div div div div ul li p  ,·,0,17
html body div section div div aside div section div div div div div ul li p a  ,1 day ago,0,18
html body div section div div aside div section div div div div div ul li a  ,林芸,0,17
html body div section div div aside div section div div div div div ul li span p  ,其實,0,18
html body div section div div aside div section div div div div div ul li span p a  ,比特幣,0,19
html body div section div div aside div section div div div div div ul li span p  ,是本人不熟的領域,0,18
html body div section div div aside div section div div div div div ul li span p  ,不過如果能夠利用這個來投資,0,18
html body div section div div aside div section div div div div div ul li span p  ,效益不曉得怎麼樣？,0,18
html body div section div div aside div section div div div div div ul li p a  ,加密貨幣對環境有害無利？從氣候變遷觀點看區塊鏈和加密貨幣的永續性,0,18
html body div section div div aside div section div div div div div ul li p  ,·,0,17
html body div section div div aside div section div div div div div ul li p a  ,1 week ago,0,18
html body div section div div aside div section div div div div div h3  ,Most Discussed,0,15
html body div section div div aside div section div div div div div ul li a  ,前核能管理委員會官員：核能對抗氣候變遷不可行,0,17
html body div section div div aside div section div div div div div ul li p  ,comment · 1 day ago,0,17
html body div section div div aside div section div div div div div ul li a  ,麥肯錫：淨零需要全球經濟徹底轉型,0,17
html body div section div div aside div section div div div div div ul li p  ,comment · 1 day ago,0,17
html body div section div div aside div section div div div div div ul li a  ,地熱發電面臨酸蝕、結垢問題 未妥善維運 發電量恐逐年衰減,0,17
html body div section div div aside div section div div div div div ul li p  ,comment · 1 day ago,0,17
html body div section div div aside div section div div div div div ul li a  ,加密貨幣對環境有害無利？從氣候變遷觀點看區塊鏈和加密貨幣的永續性,0,17
html body div section div div aside div section div div div div div ul li p  ,comment · 1 week ago,0,17
html body div section div div aside div section div div div div div ul li a  ,通霄電廠擬增設小型燃氣機組 環評初審要求補充空污減量計畫,0,17
html body div section div div aside div section div div div div div ul li p  ,comment · 2 weeks ago,0,17
html body div section div div aside div div div div div  ,目前累計總共有,0,12
html body div section div div aside div div div div div  ,個綠行動,0,12
html body div footer div div div div div div div div div div p  ,★ 依議題類別瀏覽 |,0,15
html body div footer div div div div div div div div div div p a  ,環境政策,0,16
html body div footer div div div div div div div div div div p  ,|,0,15
html body div footer div div div div div div div div div div p a  ,生活環保,0,16
html body div footer div div div div div div div div div div p  ,|,0,15
html body div footer div div div div div div div div div div p a  ,公害污染,0,16
html body div footer div div div div div div div div div div p  ,|,0,15
html body div footer div div div div div div div div div div p a  ,動物福利,0,16
html body div footer div div div div div div div div div div p  ,|,0,15
html body div footer div div div div div div div div div div p a  ,環境經濟,0,16
html body div footer div div div div div div div div div div p  ,|,0,15
html body div footer div div div div div div div div div div p a  ,生態保育,0,16
html body div footer div div div div div div div div div div p  ,|,0,15
html body div footer div div div div div div div div div div p  ,★ 依議題類別瀏覽 |,0,15
html body div footer div div div div div div div div div div p a  ,能源議題,0,16
html body div footer div div div div div div div div div div p  ,|,0,15
html body div footer div div div div div div div div div div p a  ,生物科技,0,16
html body div footer div div div div div div div div div div p  ,|,0,15
html body div footer div div div div div div div div div div p a  ,全球暖化,0,16
html body div footer div div div div div div div div div div p  ,|,0,15
html body div footer div div div div div div div div div div p a  ,土地水文,0,16
html body div footer div div div div div div div div div div p  ,|,0,15
html body div footer div div div div div div div div div div p a  ,永續發展,0,16
html body div footer div div div div div div div div div div p  ,|,0,15
html body div footer div div div div div div div div div div p a  ,環境哲學,0,16
html body div footer div div div div div div div div div div p  ,|,0,15
html body div footer div div div div div div div div div div p  ,★ 依專欄類別瀏覽 |,0,15
html body div footer div div div div div div div div div div p a  ,最新專題,0,16
html body div footer div div div div div div div div div div p  ,│,0,15
html body div footer div div div div div div div div div div p a  ,濕地故事,0,16
html body div footer div div div div div div div div div div p  ,│,0,15
html body div footer div div div div div div div div div div p a  ,與野共生,0,16
html body div footer div div div div div div div div div div p  ,│,0,15
html body div footer div div div div div div div div div div p a  ,生物多樣性,0,16
html body div footer div div div div div div div div div div p  ,│,0,15
html body div footer div div div div div div div div div div p a  ,綠色消費,0,16
html body div footer div div div div div div div div div div p  ,│,0,15
html body div footer div div div div div div div div div div p  ,maintained by,0,15
html body div footer div div div div div div div div div div p a  ,TEIA,0,16
html body div footer div div div div div div div div div div p  ,/ powered by,0,15
html body div footer div div div div div div div div div div p a  ,drupal,0,16
html body div footer div div div div div div div div div div p  ,/ enhanced by,0,15
html body div footer div div div div div div div div div div p a  ,NETivism,0,16
